競馬場コード,競馬場,国名,レース日付,レース名,レース格,レース他,レース名省略,出走条件（性別）,馬場の種類,馬場の種類（英愛）,出走条件（クラス）,出走条件（他）,出走条件（年齢）,距離,コース形態,コース詳細,馬場状態,障害数,障害レース確認,着賞金,並び順位,確定順位,異常区分,同着,着変更,ゲート番号,着差1,着差2,馬名,生産国,オッズ,馬齢,斤量,斤量特記1,斤量特記2,補助馬具,調教師,騎手,毛色,性別,父名,母名,母父名,出走頭数,優勝馬タイム,優勝馬オーナー,優勝馬生産者,コメント
178,Curragh (IRE),,2025/07/20,Sycamore Lodge Equine Hospital Irish EBF Fillies Maiden (IRE Incentive Race),,'IRE Incentive Race',Sycamore Lodge Equine Hospital Irish EBF Fillies Maiden,Fillies,,,,Maiden,2yo,7f,,,Good To Yielding,,,,1,1,,,,9,,,Sugar Island,IRE,9/2,2,,,,,A P O'Brien,Ryan Moore,b,f,,,Galileo,11,1m 30.21s,,,"Prominent, pushed along 3f out, joined leader 2f out, led narrowly and ridden 1f out, kept on (op 5/2)"
178,Curragh (IRE),,2025/07/20,Sycamore Lodge Equine Hospital Irish EBF Fillies Maiden (IRE Incentive Race),,'IRE Incentive Race',Sycamore Lodge Equine Hospital Irish EBF Fillies Maiden,Fillies,,,,Maiden,2yo,7f,,,Good To Yielding,,,,2,2,,,,1,½,,Saint Agatha,IRE,9/1,2,,,,,J A Stack,Seamie Heffernan,b,f,,,Oratorio,11,,,,"Prominent, niggled along from over 3f out, ridden and switched left over 1f out, ran green and swerved left inside final furlong, kept on final 110yds, went second towards finish (tchd 17/2 and tchd 10/1)"
178,Curragh (IRE),,2025/07/20,Sycamore Lodge Equine Hospital Irish EBF Fillies Maiden (IRE Incentive Race),,'IRE Incentive Race',Sycamore Lodge Equine Hospital Irish EBF Fillies Maiden,Fillies,,,,Maiden,2yo,7f,,,Good To Yielding,,,,3,3,,,,2,shd,½,Ridersinthesky,GER,11/1,2,,,,,Mrs John Harrington,Nathan Crosse,b,f,,,So You Think,11,,,,"Midfield on inner, ridden over 1f out, switched left and headway inside final furlong, kept on and went third towards finish (op 28/1)"
178,Curragh (IRE),,2025/07/20,Sycamore Lodge Equine Hospital Irish EBF Fillies Maiden (IRE Incentive Race),,'IRE Incentive Race',Sycamore Lodge Equine Hospital Irish EBF Fillies Maiden,Fillies,,,,Maiden,2yo,7f,,,Good To Yielding,,,,4,4,,,,4,¾,1¼,Punica Granatum,IRE,9/2,2,,,,,Mrs John Harrington,Shane Foley,b,f,,,Excelebration,11,,,,"Led, joined 2f out, headed 1f out, no extra and lost two places towards finish (tchd 4/1)"
178,Curragh (IRE),,2025/07/20,Sycamore Lodge Equine Hospital Irish EBF Fillies Maiden (IRE Incentive Race),,'IRE Incentive Race',Sycamore Lodge Equine Hospital Irish EBF Fillies Maiden,Fillies,,,,Maiden,2yo,7f,,,Good To Yielding,,,,5,5,,,,7,2,3¼,Green Interlude,IRE,7/1,2,,,,,Joseph Patrick O'Brien,Dylan Browne McMonagle,gr,f,,,Dubawi,11,,,,"Slowly into stride, in rear, smooth headway over 1f out, kept on inside final furlong, nearest finish (op 15/2 tchd 8/1)"
178,Curragh (IRE),,2025/07/20,Sycamore Lodge Equine Hospital Irish EBF Fillies Maiden (IRE Incentive Race),,'IRE Incentive Race',Sycamore Lodge Equine Hospital Irish EBF Fillies Maiden,Fillies,,,,Maiden,2yo,7f,,,Good To Yielding,,,,6,6,,,,12,½,3¾,You'll Think Of Me,IRE,2/1F,2,,,,,Donnacha Aidan O'Brien,Gavin Ryan,b,f,,,No Nay Never,11,,,,"Ducked left start, in touch with leaders on outer, challenging 2f out, slightly hampered inside final furlong, weakened inside final 110yds (op 9/4)"
178,Curragh (IRE),,2025/07/20,Sycamore Lodge Equine Hospital Irish EBF Fillies Maiden (IRE Incentive Race),,'IRE Incentive Race',Sycamore Lodge Equine Hospital Irish EBF Fillies Maiden,Fillies,,,,Maiden,2yo,7f,,,Good To Yielding,,,,7,7,,,,8,1,4¾,Define,IRE,7/1,2,,,,,G M Lyons,Gary Carroll,b,f,,,Redoute's Choice,11,,,,"Midfield, no impression (op 9/1 tchd 10/1)"
178,Curragh (IRE),,2025/07/20,Sycamore Lodge Equine Hospital Irish EBF Fillies Maiden (IRE Incentive Race),,'IRE Incentive Race',Sycamore Lodge Equine Hospital Irish EBF Fillies Maiden,Fillies,,,,Maiden,2yo,7f,,,Good To Yielding,,,,8,8,,,,5,1¼,6,Dunleer Dancer,IRE,250/1,2,,,,,Donal Kinsella,Rory Cleary,b,f,,,Sea The Stars,11,,,,"Dwelt start, held up in midfield, bit short of room 1f out, never on terms (op 66/1 tchd 300/1)"
178,Curragh (IRE),,2025/07/20,Sycamore Lodge Equine Hospital Irish EBF Fillies Maiden (IRE Incentive Race),,'IRE Incentive Race',Sycamore Lodge Equine Hospital Irish EBF Fillies Maiden,Fillies,,,,Maiden,2yo,7f,,,Good To Yielding,,,,9,9,,,,6,2¼,8¼,Lazy River,IRE,250/1,2,,,,,J G Coogan,Declan McDonogh,b,f,,,Acclamation,11,,,,Always behind (op 100/1 tchd 300/1)
178,Curragh (IRE),,2025/07/20,Sycamore Lodge Equine Hospital Irish EBF Fillies Maiden (IRE Incentive Race),,'IRE Incentive Race',Sycamore Lodge Equine Hospital Irish EBF Fillies Maiden,Fillies,,,,Maiden,2yo,7f,,,Good To Yielding,,,,10,10,,,,11,½,8¾,Lonradh,IRE,33/1,2,,,,,J S Bolger,Ross Coakley,b,f,,,Holy Roman Emperor,11,,,,Never better than midfield (op 25/1 tchd 22/1)
178,Curragh (IRE),,2025/07/20,Sycamore Lodge Equine Hospital Irish EBF Fillies Maiden (IRE Incentive Race),,'IRE Incentive Race',Sycamore Lodge Equine Hospital Irish EBF Fillies Maiden,Fillies,,,,Maiden,2yo,7f,,,Good To Yielding,,,,11,11,,,,10,7½,16¼,Grey Intentions,IRE,33/1,2,,,,,Eddie & Patrick Harty,Chris Hayes,gr,f,,,Thewayyouare,11,,,,"Held up in midfield on outer, weakened over 1f out (op 28/1 tchd 25/1)"
178,Curragh (IRE),,2025/07/20,Mongey Communications Irish EBF Fillies Handicap,,,Mongey Communications Irish EBF Fillies Handicap,Fillies,,,,,3yo+,1m,,,Good To Yielding,,,,1,1,,,,3,,,Pink Oxalis,IRE,7/1,4,,,,,Stephen Thorne,Jack Kearney,gr,f,,,Cape Cross,10,1m 41.35s,,,"In rear, headway 3f out, soon waiting for room, switched left under 2f out, ran on to lead final 110yds, won going away (trainer said, regarding the apparent improvement in form, that filly failed to pick up on very holding and tacky ground last time out at Leopardstown and added that the drop back to 1m today also helped) (op 10/1)"
